iter	Passed	Remaining
0	0	316
1	0	306
2	0	303
3	1	298
4	1	297
5	1	299
6	2	300
7	2	300
8	2	301
9	3	298
10	3	297
11	3	297
12	3	296
13	4	296
14	4	295
15	4	295
16	5	295
17	5	295
18	5	296
19	6	296
20	6	300
21	6	300
22	7	300
23	7	301
24	7	303
25	8	303
26	8	303
27	8	302
28	9	302
29	9	301
30	9	300
31	9	299
32	10	299
33	10	298
34	10	299
35	11	298
36	11	298
37	11	298
38	12	297
39	12	297
40	12	296
41	12	296
42	13	296
43	13	295
44	13	295
45	14	294
46	14	294
47	14	293
48	15	293
49	15	292
50	15	292
51	16	292
52	16	291
53	16	291
54	16	290
55	17	290
56	17	289
57	17	289
58	18	289
59	18	288
60	18	288
61	19	287
62	19	287
63	19	286
64	19	286
65	20	286
66	20	285
67	20	285
68	21	284
69	21	284
70	21	284
71	21	283
72	22	283
73	22	282
74	22	282
75	23	282
76	23	281
77	23	281
78	24	280
79	24	281
80	24	280
81	25	281
82	25	280
83	25	280
84	25	279
85	26	279
86	26	279
87	26	279
88	27	278
89	27	278
90	27	278
91	28	277
92	28	277
93	28	277
94	29	277
95	29	276
96	29	276
97	30	276
98	30	275
99	30	275
100	30	275
101	31	274
102	31	274
103	31	274
104	32	273
105	32	273
106	32	273
107	33	273
108	33	272
109	33	272
110	33	272
111	34	271
112	34	271
113	34	271
114	35	270
115	35	270
116	35	270
117	36	269
118	36	269
119	36	268
120	37	269
121	37	268
122	37	269
123	38	268
124	38	268
125	38	267
126	38	267
127	39	267
128	39	267
129	39	267
130	40	266
131	40	266
132	40	265
133	41	265
134	41	265
135	41	264
136	41	264
137	42	264
138	42	263
139	42	263
140	43	263
141	43	262
142	43	262
143	44	261
144	44	261
145	44	261
146	44	260
147	45	260
148	45	260
149	45	259
150	46	259
151	46	259
152	46	258
153	47	258
154	47	258
155	47	257
156	47	257
157	48	257
158	48	256
159	48	256
160	49	256
161	49	255
162	49	255
163	50	255
164	50	254
165	50	254
166	50	254
167	51	254
168	51	253
169	52	254
170	52	254
171	52	253
172	53	253
173	53	253
174	53	253
175	53	252
176	54	252
177	54	252
178	54	252
179	55	251
180	55	251
181	55	251
182	56	251
183	56	250
184	56	250
185	57	250
186	57	249
187	57	249
188	58	249
189	58	248
190	58	248
191	58	248
192	59	247
193	59	247
194	59	247
195	60	246
196	60	246
197	60	246
198	61	245
199	61	245
200	61	245
201	62	245
202	62	244
203	62	244
204	62	244
205	63	243
206	63	243
207	63	243
208	64	242
209	64	242
210	64	242
211	65	241
212	65	241
213	65	241
214	65	240
215	66	240
216	66	240
217	66	239
218	67	239
219	67	239
220	67	239
221	68	238
222	68	238
223	68	238
224	69	237
225	69	237
226	69	237
227	69	236
228	70	236
229	70	236
230	70	235
231	71	235
232	71	235
233	71	234
234	72	234
235	72	234
236	72	234
237	72	233
238	73	233
239	73	232
240	73	232
241	74	232
242	74	232
243	74	231
244	75	231
245	75	231
246	75	230
247	76	230
248	76	230
249	76	229
250	76	229
251	77	229
252	77	228
253	77	228
254	78	228
255	78	227
256	78	227
257	79	227
258	79	227
259	79	226
260	79	226
261	80	226
262	80	225
263	80	225
264	81	225
265	81	224
266	81	224
267	82	224
268	82	223
269	82	223
270	83	223
271	83	223
272	83	222
273	83	222
274	84	222
275	84	221
276	84	221
277	85	221
278	85	220
279	85	220
280	86	220
281	86	219
282	86	219
283	86	219
284	87	218
285	87	218
286	87	218
287	88	217
288	88	217
289	88	217
290	89	216
291	89	216
292	89	216
293	89	215
294	90	215
295	90	215
296	90	215
297	91	214
298	91	214
299	91	214
300	92	213
301	92	213
302	92	213
303	93	213
304	93	212
305	93	212
306	94	212
307	94	212
308	94	211
309	94	211
310	95	211
311	95	210
312	95	210
313	96	210
314	96	209
315	96	209
316	97	209
317	97	208
318	97	208
319	98	208
320	98	208
321	98	207
322	99	207
323	99	207
324	99	206
325	99	206
326	100	206
327	100	206
328	100	205
329	101	205
330	101	205
331	101	205
332	102	204
333	102	204
334	102	204
335	103	203
336	103	203
337	103	203
338	104	202
339	104	202
340	104	202
341	104	201
342	105	201
343	105	201
344	105	200
345	106	200
346	106	200
347	106	200
348	107	199
349	107	199
350	107	199
351	107	198
352	108	198
353	108	198
354	108	197
355	109	197
356	109	197
357	109	196
358	110	196
359	110	196
360	110	196
361	111	195
362	111	195
363	111	195
364	111	194
365	112	194
366	112	194
367	112	193
368	113	193
369	113	193
370	113	192
371	114	192
372	114	192
373	114	192
374	115	191
375	115	191
376	115	191
377	116	190
378	116	190
379	116	190
380	116	190
381	117	189
382	117	189
383	117	189
384	118	188
385	118	188
386	118	188
387	119	187
388	119	187
389	119	187
390	120	187
391	120	186
392	120	186
393	121	186
394	121	185
395	121	185
396	121	185
397	122	184
398	122	184
399	122	184
400	123	183
401	123	183
402	123	183
403	124	183
404	124	182
405	124	182
406	124	182
407	125	181
408	125	181
409	125	181
410	126	180
411	126	180
412	126	180
413	127	179
414	127	179
415	127	179
416	127	178
417	128	178
418	128	178
419	128	177
420	129	177
421	129	177
422	129	177
423	130	176
424	130	176
425	130	176
426	130	175
427	131	175
428	131	175
429	131	174
430	132	174
431	132	174
432	132	173
433	133	173
434	133	173
435	133	173
436	134	172
437	134	172
438	134	172
439	135	172
440	135	171
441	135	171
442	136	171
443	136	170
444	136	170
445	136	170
446	137	169
447	137	169
448	137	169
449	138	168
450	138	168
451	138	168
452	139	167
453	139	167
454	139	167
455	139	166
456	140	166
457	140	166
458	140	166
459	141	165
460	141	165
461	141	165
462	142	164
463	142	164
464	142	164
465	143	163
466	143	163
467	143	163
468	144	163
469	144	162
470	144	162
471	144	162
472	145	161
473	145	161
474	145	161
475	146	160
476	146	160
477	146	160
478	147	159
479	147	159
480	147	159
481	147	158
482	148	158
483	148	158
484	148	158
485	149	157
486	149	157
487	149	157
488	150	156
489	150	156
490	150	156
491	151	155
492	151	155
493	151	155
494	152	155
495	152	154
496	152	154
497	152	154
498	153	153
499	153	153
500	153	153
501	154	152
502	154	152
503	154	152
504	155	152
505	155	151
506	155	151
507	156	151
508	156	151
509	156	150
510	157	150
511	157	150
512	157	149
513	158	149
514	158	149
515	158	149
516	159	148
517	159	148
518	159	148
519	160	147
520	160	147
521	160	147
522	161	146
523	161	146
524	161	146
525	161	145
526	162	145
527	162	145
528	162	145
529	163	144
530	163	144
531	163	144
532	164	143
533	164	143
534	164	143
535	165	143
536	165	142
537	165	142
538	166	142
539	166	141
540	166	141
541	167	141
542	167	140
543	167	140
544	168	140
545	168	139
546	168	139
547	168	139
548	169	139
549	169	138
550	169	138
551	170	138
552	170	137
553	170	137
554	171	137
555	171	136
556	171	136
557	171	136
558	172	135
559	172	135
560	172	135
561	173	134
562	173	134
563	173	134
564	174	134
565	174	133
566	174	133
567	175	133
568	175	132
569	175	132
570	176	132
571	176	131
572	176	131
573	176	131
574	177	131
575	177	130
576	177	130
577	178	130
578	178	129
579	178	129
580	179	129
581	179	128
582	179	128
583	180	128
584	180	127
585	180	127
586	180	127
587	181	127
588	181	126
589	181	126
590	182	126
591	182	125
592	182	125
593	183	125
594	183	124
595	183	124
596	184	124
597	184	123
598	184	123
599	184	123
600	185	122
601	185	122
602	185	122
603	186	122
604	186	121
605	186	121
606	187	121
607	187	120
608	187	120
609	188	120
610	188	119
611	188	119
612	189	119
613	189	119
614	189	118
615	189	118
616	190	118
617	190	117
618	191	117
619	191	117
620	191	116
621	191	116
622	192	116
623	192	116
624	192	115
625	193	115
626	193	115
627	193	114
628	194	114
629	194	114
630	195	114
631	195	113
632	195	113
633	195	113
634	196	112
635	196	112
636	196	112
637	197	111
638	197	111
639	197	111
640	198	110
641	198	110
642	198	110
643	198	109
644	199	109
645	199	109
646	199	109
647	200	108
648	200	108
649	200	108
650	201	107
651	201	107
652	201	107
653	202	106
654	202	106
655	202	106
656	202	105
657	203	105
658	203	105
659	203	105
660	204	104
661	204	104
662	204	104
663	205	103
664	205	103
665	205	103
666	206	102
667	206	102
668	206	102
669	206	101
670	207	101
671	207	101
672	207	101
673	208	100
674	208	100
675	208	100
676	209	99
677	209	99
678	209	99
679	210	98
680	210	98
681	210	98
682	210	97
683	211	97
684	211	97
685	211	96
686	212	96
687	212	96
688	212	96
689	213	95
690	213	95
691	213	95
692	214	94
693	214	94
694	214	94
695	215	93
696	215	93
697	215	93
698	216	93
699	216	92
700	216	92
701	216	92
702	217	91
703	217	91
704	217	91
705	218	90
706	218	90
707	218	90
708	219	89
709	219	89
710	219	89
711	220	89
712	220	88
713	220	88
714	221	88
715	221	87
716	221	87
717	222	87
718	222	86
719	222	86
720	222	86
721	223	85
722	223	85
723	223	85
724	224	85
725	224	84
726	224	84
727	225	84
728	225	83
729	225	83
730	226	83
731	226	82
732	226	82
733	227	82
734	227	81
735	227	81
736	227	81
737	228	81
738	228	80
739	228	80
740	229	80
741	229	79
742	229	79
743	230	79
744	230	78
745	230	78
746	231	78
747	231	77
748	231	77
749	232	77
750	232	77
751	232	76
752	232	76
753	233	76
754	233	75
755	233	75
756	234	75
757	234	74
758	234	74
759	235	74
760	235	74
761	235	73
762	236	73
763	236	73
764	236	72
765	237	72
766	237	72
767	237	71
768	238	71
769	238	71
770	238	70
771	239	70
772	239	70
773	239	69
774	239	69
775	240	69
776	240	69
777	240	68
778	241	68
779	241	68
780	241	67
781	242	67
782	242	67
783	242	66
784	242	66
785	243	66
786	243	65
787	243	65
788	244	65
789	244	64
790	244	64
791	245	64
792	245	64
793	245	63
794	246	63
795	246	63
796	246	62
797	246	62
798	247	62
799	247	61
800	247	61
801	248	61
802	248	60
803	248	60
804	249	60
805	249	60
806	249	59
807	249	59
808	250	59
809	250	58
810	250	58
811	251	58
812	251	57
813	251	57
814	252	57
815	252	56
816	252	56
817	253	56
818	253	56
819	253	55
820	254	55
821	254	55
822	254	54
823	255	54
824	255	54
825	255	53
826	256	53
827	256	53
828	256	52
829	257	52
830	257	52
831	257	52
832	258	51
833	258	51
834	258	51
835	258	50
836	259	50
